"year","team","conference","division","expected_wins","total_games","total_wins","total_losses","total_ties","conference_games","conference_wins","conference_losses","conference_ties","home_games","home_wins","home_losses","home_ties","away_games","away_wins","away_losses","away_ties"
2000,"Louisiana Tech","FBS Independents","",0,12,3,9,0,4,2,2,0,4,2,2,0,8,1,7,0
2000,"Louisville","Conference USA","",0,12,9,3,0,7,6,1,0,7,6,1,0,4,3,1,0
2000,"LSU","SEC","West",0,12,8,4,0,8,5,3,0,7,6,1,0,4,1,3,0
2000,"Marshall","Mid-American","East",0,13,8,5,0,9,6,3,0,5,4,1,0,6,2,4,0
2000,"Maryland","ACC","",0,11,5,6,0,8,3,5,0,6,4,2,0,5,1,4,0
2000,"Memphis","Conference USA","",0,11,4,7,0,7,2,5,0,6,2,4,0,5,2,3,0
2000,"Miami","Big East","",0,12,11,1,0,7,7,0,0,6,6,0,0,5,4,1,0
2000,"Miami (OH)","Mid-American","East",0,11,6,5,0,8,5,3,0,4,3,1,0,7,3,4,0
2000,"Michigan","Big Ten","",0,12,9,3,0,8,6,2,0,6,6,0,0,5,2,3,0
2000,"Michigan State","Big Ten","",0,11,5,6,0,8,2,6,0,6,4,2,0,5,1,4,0
2000,"Middle Tennessee","FBS Independents","",0,11,6,5,0,5,5,0,0,5,5,0,0,6,1,5,0
2000,"Minnesota","Big Ten","",0,12,6,6,0,8,4,4,0,6,4,2,0,5,2,3,0
2000,"Mississippi State","SEC","West",0,12,8,4,0,8,4,4,0,5,4,1,0,6,3,3,0
2000,"Missouri","Big 12","North",0,11,3,8,0,8,2,6,0,6,2,4,0,5,1,4,0
2000,"Navy","FBS Independents","",0,11,1,10,0,1,0,1,0,6,1,5,0,5,0,5,0
2000,"NC State","ACC","",0,12,8,4,0,8,4,4,0,6,5,1,0,5,2,3,0
2000,"Nebraska","Big 12","North",0,12,10,2,0,8,6,2,0,6,6,0,0,5,3,2,0
2000,"Nevada","Western Athletic","",0,12,2,10,0,8,1,7,0,5,1,4,0,7,1,6,0
2000,"New Mexico","Mountain West","",0,12,5,7,0,7,3,4,0,6,3,3,0,6,2,4,0
2000,"New Mexico State","Big West","",0,11,3,8,0,5,1,4,0,5,2,3,0,6,1,5,0
2000,"North Carolina","ACC","",0,11,6,5,0,8,3,5,0,6,3,3,0,5,3,2,0
2000,"Northern Illinois","Mid-American","West",0,11,6,5,0,7,4,3,0,5,4,1,0,6,2,4,0
2000,"North Texas","Big West","",0,11,3,8,0,5,1,4,0,5,2,3,0,6,1,5,0
2000,"Northwestern","Big Ten","",0,12,8,4,0,8,6,2,0,6,5,1,0,5,3,2,0
2000,"Notre Dame","FBS Independents","",0,12,9,3,0,1,1,0,0,7,6,1,0,4,3,1,0
2000,"Ohio","Mid-American","East",0,11,7,4,0,8,5,3,0,5,4,1,0,6,3,3,0
2000,"Ohio State","Big Ten","",0,12,8,4,0,8,5,3,0,6,4,2,0,5,4,1,0
2000,"Oklahoma","Big 12","South",0,13,13,0,0,9,9,0,0,7,7,0,0,4,4,0,0
2000,"Oklahoma State","Big 12","South",0,11,3,8,0,8,1,7,0,6,2,4,0,5,1,4,0
2000,"Ole Miss","SEC","West",0,12,7,5,0,8,4,4,0,7,5,2,0,4,2,2,0
2000,"Oregon","Pac-10","",0,12,10,2,0,8,7,1,0,6,6,0,0,5,3,2,0
2000,"Oregon State","Pac-10","",0,12,11,1,0,8,7,1,0,6,6,0,0,5,4,1,0
2000,"Penn State","Big Ten","",0,12,5,7,0,8,4,4,0,6,4,2,0,6,1,5,0
2000,"Pittsburgh","Big East","",0,12,7,5,0,7,4,3,0,6,5,1,0,5,2,3,0
2000,"Purdue","Big Ten","",0,12,8,4,0,8,6,2,0,6,6,0,0,5,2,3,0
2000,"Rice","Western Athletic","",0,11,3,8,0,8,2,6,0,5,3,2,0,6,0,6,0
2000,"Rutgers","Big East","",0,11,3,8,0,7,0,7,0,6,2,4,0,5,1,4,0
2000,"San Diego State","Mountain West","",0,11,3,8,0,7,3,4,0,5,0,5,0,6,3,3,0
2000,"San José State","Western Athletic","",0,12,7,5,0,8,5,3,0,5,3,2,0,7,4,3,0
2000,"SMU","Western Athletic","",0,12,3,9,0,8,2,6,0,6,3,3,0,6,0,6,0
2000,"South Carolina","SEC","East",0,12,8,4,0,8,5,3,0,6,5,1,0,5,2,3,0
2000,"Southern Mississippi","Conference USA","",0,12,8,4,0,7,4,3,0,4,2,2,0,7,5,2,0
2000,"South Florida","FBS Independents","",0,11,7,4,0,2,1,1,0,6,6,0,0,5,1,4,0
2000,"Stanford","Pac-10","",0,11,5,6,0,8,4,4,0,6,3,3,0,5,2,3,0
2000,"Syracuse","Big East","",0,11,6,5,0,7,4,3,0,6,4,2,0,5,2,3,0
2000,"TCU","Western Athletic","",0,12,10,2,0,8,7,1,0,6,6,0,0,5,4,1,0
2000,"Temple","Big East","",0,11,4,7,0,7,1,6,0,6,2,4,0,5,2,3,0
2000,"Tennessee","SEC","East",0,12,8,4,0,8,5,3,0,6,5,1,0,5,3,2,0
2000,"Texas","Big 12","South",0,12,9,3,0,8,7,1,0,6,6,0,0,5,3,2,0
2000,"Texas A&M","Big 12","South",0,12,7,5,0,8,5,3,0,6,4,2,0,5,3,2,0
2000,"Texas Tech","Big 12","South",0,13,7,6,0,8,3,5,0,8,6,2,0,4,1,3,0
2000,"Toledo","Mid-American","West",0,11,10,1,0,7,6,1,0,6,6,0,0,5,4,1,0
2000,"Tulane","Conference USA","",0,11,6,5,0,7,3,4,0,5,4,1,0,6,2,4,0
2000,"Tulsa","Western Athletic","",0,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
2000,"UAB","Conference USA","",0,11,7,4,0,6,3,3,0,6,4,2,0,5,3,2,0
2000,"UCF","FBS Independents","",0,11,7,4,0,2,2,0,0,5,4,1,0,6,3,3,0
2000,"UCLA","Pac-10","",0,12,6,6,0,8,3,5,0,7,5,2,0,4,1,3,0
2000,"UNLV","Mountain West","",0,13,8,5,0,7,4,3,0,5,5,0,0,7,2,5,0
2000,"USC","Pac-10","",0,12,5,7,0,8,2,6,0,8,3,5,0,4,2,2,0
2000,"Utah","Mountain West","",0,11,4,7,0,7,3,4,0,6,1,5,0,5,3,2,0
2000,"Utah State","Big West","",0,11,5,6,0,5,4,1,0,5,3,2,0,6,2,4,0
2000,"UTEP","Western Athletic","",0,12,8,4,0,8,7,1,0,5,5,0,0,6,3,3,0
2000,"Vanderbilt","SEC","East",0,11,3,8,0,8,1,7,0,6,1,5,0,5,2,3,0
2000,"Virginia","ACC","",0,12,6,6,0,8,5,3,0,6,4,2,0,5,2,3,0
2000,"Virginia Tech","Big East","",0,12,11,1,0,7,6,1,0,6,6,0,0,5,4,1,0
2000,"Wake Forest","ACC","",0,11,2,9,0,8,1,7,0,6,1,5,0,5,1,4,0
2000,"Washington","Pac-10","",0,12,11,1,0,8,7,1,0,6,6,0,0,5,4,1,0
2000,"Washington State","Pac-10","",0,11,4,7,0,8,2,6,0,6,1,5,0,5,3,2,0
2000,"Western Michigan","Mid-American","West",0,12,9,3,0,9,7,2,0,5,5,0,0,6,4,2,0
2000,"West Virginia","Big East","",0,12,7,5,0,7,3,4,0,7,4,3,0,4,2,2,0
2000,"Wisconsin","Big Ten","",0,13,9,4,0,8,4,4,0,7,4,3,0,5,4,1,0
2000,"Wyoming","Mountain West","",0,11,1,10,0,7,0,7,0,5,1,4,0,6,0,6,0
2001,"Air Force","Mountain West","",0,12,6,6,0,8,4,4,0,6,4,2,0,6,2,4,0
2001,"Akron","Mid-American","East",0,11,4,7,0,8,4,4,0,4,3,1,0,7,1,6,0
2001,"Alabama","SEC","West",0,12,7,5,0,8,4,4,0,7,4,3,0,5,3,2,0
2001,"Arizona","Pac-10","",0,11,5,6,0,10,4,6,0,6,2,4,0,5,3,2,0
2001,"Arizona State","Pac-10","",0,11,4,7,0,9,2,7,0,7,4,3,0,4,0,4,0
2001,"Arkansas","SEC","West",0,12,7,5,0,8,4,4,0,7,6,1,0,5,1,4,0
2001,"Arkansas State","Sun Belt","",0,11,2,9,0,6,2,4,0,6,2,4,0,5,0,5,0
2001,"Army","Conference USA","",0,11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
2001,"Auburn","SEC","West",0,12,7,5,0,8,5,3,0,7,5,2,0,5,2,3,0
2001,"Ball State","Mid-American","West",0,11,5,6,0,7,4,3,0,5,2,3,0,6,3,3,0
2001,"Baylor","Big 12","South",0,11,3,8,0,8,0,8,0,7,3,4,0,4,0,4,0
2001,"Boise State","Western Athletic","",0,12,8,4,0,8,6,2,0,6,5,1,0,6,3,3,0
2001,"Boston College","Big East","",0,12,8,4,0,7,4,3,0,6,5,1,0,6,3,3,0
2001,"Bowling Green","Mid-American","East",0,11,8,3,0,8,5,3,0,5,4,1,0,6,4,2,0
2001,"Buffalo","Mid-American","East",0,11,3,8,0,8,1,7,0,5,1,4,0,6,2,4,0
2001,"BYU","Mountain West","",0,14,12,2,0,10,9,1,0,7,6,1,0,7,6,1,0
2001,"California","Pac-10","",0,11,1,10,0,10,0,10,0,6,0,6,0,5,1,4,0
2001,"Central Michigan","Mid-American","West",0,11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
2001,"Cincinnati","Conference USA","",0,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0
2001,"Clemson","ACC","",0,12,7,5,0,8,4,4,0,6,3,3,0,6,4,2,0
2001,"Colorado","Big 12","North",0,13,10,3,0,9,8,1,0,6,5,1,0,7,5,2,0
2001,"Colorado State","Mountain West","",0,12,7,5,0,8,5,3,0,7,4,3,0,5,3,2,0
2001,"Connecticut","FBS Independents","",0,11,2,9,0,0,0,0,0,5,1,4,0,6,1,5,0
2001,"Duke","ACC","",0,11,0,11,0,9,0,9,0,6,0,6,0,5,0,5,0
2001,"East Carolina","Conference USA","",0,12,6,6,0,10,6,4,0,5,2,3,0,7,4,3,0
2001,"Eastern Michigan","Mid-American","West",0,11,2,9,0,7,1,6,0,5,2,3,0,6,0,6,0
2001,"Florida","SEC","East",0,12,10,2,0,8,6,2,0,8,7,1,0,4,3,1,0
2001,"Florida State","ACC","",0,12,8,4,0,9,7,2,0,6,4,2,0,6,4,2,0
2001,"Fresno State","Western Athletic","",0,14,11,3,0,8,6,2,0,7,5,2,0,7,6,1,0
2001,"Georgia","SEC","East",0,12,8,4,0,8,5,3,0,7,4,3,0,5,4,1,0
2001,"Georgia Tech","ACC","",0,13,8,5,0,9,5,4,0,6,3,3,0,7,5,2,0
2001,"Hawai'i","Western Athletic","",0,12,9,3,0,8,5,3,0,9,7,2,0,3,2,1,0
2001,"Houston","Conference USA","",0,11,0,11,0,7,0,7,0,6,0,6,0,5,0,5,0
2001,"Idaho","Sun Belt","",0,11,1,10,0,6,1,5,0,4,1,3,0,7,0,7,0
2001,"Illinois","Big Ten","",0,12,10,2,0,10,9,1,0,7,6,1,0,5,4,1,0
2001,"Indiana","Big Ten","",0,11,5,6,0,10,4,6,0,6,3,3,0,5,2,3,0
2001,"Iowa","Big Ten","",0,12,7,5,0,8,4,4,0,6,5,1,0,6,2,4,0
2001,"Iowa State","Big 12","North",0,12,7,5,0,8,4,4,0,7,4,3,0,5,3,2,0
2001,"Kansas","Big 12","North",0,11,3,8,0,8,1,7,0,7,2,5,0,4,1,3,0
2001,"Kansas State","Big 12","North",0,12,6,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2001,"Kent State","Mid-American","East",0,11,6,5,0,8,5,3,0,5,4,1,0,6,2,4,0
2001,"Kentucky","SEC","East",0,11,2,9,0,8,1,7,0,6,1,5,0,5,1,4,0
2001,"Louisiana","Sun Belt","",0,11,3,8,0,6,2,4,0,5,2,3,0,6,1,5,0
2001,"Louisiana Monroe","Sun Belt","",0,11,2,9,0,6,2,4,0,5,1,4,0,6,1,5,0
2001,"Louisiana Tech","Western Athletic","",0,12,7,5,0,8,7,1,0,5,4,1,0,7,3,4,0
2001,"Louisville","Conference USA","",0,13,11,2,0,10,8,2,0,6,6,0,0,7,5,2,0
2001,"LSU","SEC","West",0,13,10,3,0,9,6,3,0,8,6,2,0,5,4,1,0
2001,"Marshall","Mid-American","East",0,13,11,2,0,9,8,1,0,7,7,0,0,6,4,2,0
2001,"Maryland","ACC","",0,12,10,2,0,8,7,1,0,7,7,0,0,5,3,2,0
2001,"Memphis","Conference USA","",0,11,5,6,0,7,3,4,0,6,4,2,0,5,1,4,0
2001,"Miami","Big East","",0,12,12,0,0,7,7,0,0,7,7,0,0,5,5,0,0
2001,"Miami (OH)","Mid-American","East",0,12,7,5,0,8,6,2,0,5,4,1,0,7,3,4,0
2001,"Michigan","Big Ten","",0,12,8,4,0,9,6,3,0,6,5,1,0,6,3,3,0
2001,"Michigan State","Big Ten","",0,12,7,5,0,8,3,5,0,6,4,2,0,6,3,3,0
2001,"Middle Tennessee","Sun Belt","",0,11,8,3,0,6,5,1,0,5,5,0,0,6,3,3,0
2001,"Minnesota","Big Ten","",0,11,4,7,0,8,2,6,0,6,4,2,0,5,0,5,0
2001,"Mississippi State","SEC","West",0,11,3,8,0,8,2,6,0,7,3,4,0,4,0,4,0
2001,"Missouri","Big 12","North",0,11,4,7,0,8,3,5,0,6,2,4,0,5,2,3,0
2001,"Navy","FBS Independents","",0,10,0,10,0,0,0,0,0,6,0,6,0,4,0,4,0
2001,"NC State","ACC","",0,12,7,5,0,9,5,4,0,7,3,4,0,5,4,1,0
2001,"Nebraska","Big 12","North",0,13,11,2,0,8,7,1,0,8,8,0,0,5,3,2,0
2001,"Nevada","Western Athletic","",0,11,3,8,0,8,3,5,0,5,2,3,0,6,1,5,0
2001,"New Mexico","Mountain West","",0,11,6,5,0,7,4,3,0,6,4,2,0,5,2,3,0
2001,"New Mexico State","Sun Belt","",0,12,5,7,0,6,4,2,0,4,2,2,0,8,3,5,0
2001,"North Carolina","ACC","",0,13,8,5,0,9,6,3,0,6,5,1,0,7,3,4,0
2001,"Northern Illinois","Mid-American","West",0,11,6,5,0,7,4,3,0,6,5,1,0,5,1,4,0
2001,"North Texas","Sun Belt","",0,12,5,7,0,6,5,1,0,5,3,2,0,7,2,5,0
2001,"Northwestern","Big Ten","",0,11,4,7,0,10,4,6,0,5,2,3,0,6,2,4,0
2001,"Notre Dame","FBS Independents","",0,11,5,6,0,0,0,0,0,6,4,2,0,5,1,4,0
2001,"Ohio","Mid-American","East",0,11,1,10,0,8,1,7,0,5,0,5,0,6,1,5,0
2001,"Ohio State","Big Ten","",0,12,7,5,0,9,5,4,0,6,4,2,0,6,3,3,0
2001,"Oklahoma","Big 12","South",0,13,11,2,0,8,6,2,0,8,7,1,0,5,4,1,0
2001,"Oklahoma State","Big 12","South",0,11,4,7,0,8,2,6,0,6,2,4,0,5,2,3,0
2001,"Ole Miss","SEC","West",0,11,7,4,0,8,4,4,0,6,4,2,0,5,3,2,0
2001,"Oregon","Pac-10","",0,12,11,1,0,10,9,1,0,7,6,1,0,5,5,0,0
2001,"Oregon State","Pac-10","",0,11,5,6,0,8,3,5,0,5,4,1,0,6,1,5,0
2001,"Penn State","Big Ten","",0,11,5,6,0,10,5,5,0,6,3,3,0,5,2,3,0
2001,"Pittsburgh","Big East","",0,12,7,5,0,7,4,3,0,6,3,3,0,6,4,2,0
2001,"Purdue","Big Ten","",0,12,6,6,0,10,5,5,0,6,4,2,0,6,2,4,0
2001,"Rice","Western Athletic","",0,12,8,4,0,8,5,3,0,5,5,0,0,7,3,4,0
2001,"Rutgers","Big East","",0,11,2,9,0,7,0,7,0,7,1,6,0,4,1,3,0
2001,"San Diego State","Mountain West","",0,11,3,8,0,9,2,7,0,6,2,4,0,5,1,4,0
2001,"San José State","Western Athletic","",0,12,3,9,0,8,3,5,0,4,2,2,0,8,1,7,0
2001,"SMU","Western Athletic","",0,11,4,7,0,8,4,4,0,6,2,4,0,5,2,3,0
2001,"South Carolina","SEC","East",0,12,9,3,0,8,5,3,0,8,7,1,0,4,2,2,0
2001,"Southern Mississippi","Conference USA","",0,11,6,5,0,8,4,4,0,5,4,1,0,6,2,4,0
2001,"South Florida","FBS Independents","",0,11,8,3,0,0,0,0,0,7,7,0,0,4,1,3,0
2001,"Stanford","Pac-10","",0,12,9,3,0,9,6,3,0,7,5,2,0,5,4,1,0
2001,"Syracuse","Big East","",0,13,10,3,0,7,6,1,0,7,6,1,0,6,4,2,0
2001,"TCU","Conference USA","",0,12,6,6,0,7,4,3,0,4,2,2,0,8,4,4,0
2001,"Temple","Big East","",0,11,4,7,0,7,2,5,0,6,3,3,0,5,1,4,0
2001,"Tennessee","SEC","East",0,13,11,2,0,9,7,2,0,7,6,1,0,6,5,1,0
2001,"Texas","Big 12","South",0,13,11,2,0,9,7,2,0,8,6,2,0,5,5,0,0
2001,"Texas A&M","Big 12","South",0,12,8,4,0,8,4,4,0,7,6,1,0,5,2,3,0
2001,"Texas Tech","Big 12","South",0,12,7,5,0,8,4,4,0,7,4,3,0,5,3,2,0
2001,"Toledo","Mid-American","West",0,12,10,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2001,"Troy","FBS Independents","",0,11,7,4,0,0,0,0,0,5,5,0,0,6,2,4,0
2001,"Tulane","Conference USA","",0,12,3,9,0,8,1,7,0,5,2,3,0,7,1,6,0
2001,"Tulsa","Western Athletic","",0,11,1,10,0,8,0,8,0,6,1,5,0,5,0,5,0
2001,"UAB","Conference USA","",0,11,6,5,0,8,5,3,0,5,4,1,0,6,2,4,0
2001,"UCF","FBS Independents","",0,11,6,5,0,0,0,0,0,5,5,0,0,6,1,5,0
2001,"UCLA","Pac-10","",0,11,7,4,0,9,5,4,0,5,4,1,0,6,3,3,0
2001,"UNLV","Mountain West","",0,11,4,7,0,9,3,6,0,5,1,4,0,6,3,3,0
2001,"USC","Pac-10","",0,12,6,6,0,9,5,4,0,6,4,2,0,6,2,4,0
2001,"Utah","Mountain West","",0,12,8,4,0,10,6,4,0,6,6,0,0,6,2,4,0
2001,"Utah State","FBS Independents","",0,11,4,7,0,0,0,0,0,5,3,2,0,6,1,5,0
2001,"UTEP","Western Athletic","",0,11,2,9,0,8,1,7,0,5,2,3,0,6,0,6,0
2001,"Vanderbilt","SEC","East",0,11,2,9,0,8,0,8,0,6,1,5,0,5,1,4,0
2001,"Virginia","ACC","",0,12,5,7,0,11,5,6,0,7,4,3,0,5,1,4,0
2001,"Virginia Tech","Big East","",0,12,8,4,0,7,4,3,0,7,4,3,0,5,4,1,0
2001,"Wake Forest","ACC","",0,11,6,5,0,9,4,5,0,6,2,4,0,5,4,1,0
2001,"Washington","Pac-10","",0,12,8,4,0,9,7,2,0,6,6,0,0,6,2,4,0
2001,"Washington State","Pac-10","",0,12,10,2,0,9,7,2,0,7,6,1,0,5,4,1,0
2001,"Western Michigan","Mid-American","West",0,11,5,6,0,8,4,4,0,5,4,1,0,6,1,5,0
2001,"West Virginia","Big East","",0,11,3,8,0,7,1,6,0,6,3,3,0,5,0,5,0
2001,"Wisconsin","Big Ten","",0,12,5,7,0,10,4,6,0,7,3,4,0,5,2,3,0
2001,"Wyoming","Mountain West","",0,11,2,9,0,7,0,7,0,6,1,5,0,5,1,4,0
2002,"Air Force","Mountain West","",0,13,8,5,0,10,7,3,0,7,4,3,0,6,4,2,0
2002,"Akron","Mid-American","East",0,12,4,8,0,8,3,5,0,5,3,2,0,7,1,6,0
2002,"Alabama","SEC","West",0,13,10,3,0,8,6,2,0,7,5,2,0,6,5,1,0
2002,"Arizona","Pac-10","",0,12,4,8,0,10,2,8,0,7,3,4,0,5,1,4,0
2002,"Arizona State","Pac-10","",0,14,8,6,0,10,6,4,0,8,5,3,0,6,3,3,0
2002,"Arkansas","SEC","West",0,14,9,5,0,9,5,4,0,9,6,3,0,5,3,2,0
2002,"Arkansas State","Sun Belt","",0,13,6,7,0,6,3,3,0,7,4,3,0,6,2,4,0
2002,"Army","Conference USA","",0,12,1,11,0,9,1,8,0,6,0,6,0,6,1,5,0
2002,"Auburn","SEC","West",0,13,9,4,0,8,5,3,0,8,6,2,0,5,3,2,0
2002,"Ball State","Mid-American","West",0,12,6,6,0,8,4,4,0,5,4,1,0,7,2,5,0
2002,"Baylor","Big 12","South",0,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
2002,"Boise State","Western Athletic","",0,13,12,1,0,8,8,0,0,7,7,0,0,6,5,1,0
2002,"Boston College","Big East","",0,13,9,4,0,7,3,4,0,7,6,1,0,6,3,3,0
2002,"Bowling Green","Mid-American","West",0,12,9,3,0,8,6,2,0,6,6,0,0,6,3,3,0
2002,"Buffalo","Mid-American","East",0,12,1,11,0,8,0,8,0,6,0,6,0,6,1,5,0
2002,"BYU","Mountain West","",0,12,5,7,0,8,2,6,0,6,4,2,0,6,1,5,0
2002,"California","Pac-10","",0,12,7,5,0,10,5,5,0,7,4,3,0,5,3,2,0
2002,"Central Michigan","Mid-American","West",0,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
2002,"Cincinnati","Conference USA","",0,14,7,7,0,9,6,3,0,8,4,4,0,6,3,3,0
2002,"Clemson","ACC","",0,13,7,6,0,8,4,4,0,7,5,2,0,6,2,4,0
2002,"Colorado","Big 12","North",0,14,9,5,0,9,7,2,0,8,5,3,0,6,4,2,0
2002,"Colorado State","Mountain West","",0,14,10,4,0,11,8,3,0,6,4,2,0,8,6,2,0
2002,"Connecticut","FBS Independents","",0,12,6,6,0,0,0,0,0,6,3,3,0,6,3,3,0
2002,"Duke","ACC","",0,12,2,10,0,11,1,10,0,6,1,5,0,6,1,5,0
2002,"East Carolina","Conference USA","",0,12,4,8,0,11,4,7,0,5,3,2,0,7,1,6,0
2002,"Eastern Michigan","Mid-American","West",0,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
2002,"Florida","SEC","East",0,13,8,5,0,8,6,2,0,8,5,3,0,5,3,2,0
2002,"Florida State","ACC","",0,14,9,5,0,9,7,2,0,7,5,2,0,7,4,3,0
2002,"Fresno State","Western Athletic","",0,14,9,5,0,8,6,2,0,7,6,1,0,7,3,4,0
2002,"Georgia","SEC","East",0,14,13,1,0,9,8,1,0,8,7,1,0,6,6,0,0
2002,"Georgia Tech","ACC","",0,13,7,6,0,9,5,4,0,6,4,2,0,7,3,4,0
2002,"Hawai'i","Western Athletic","",0,14,10,4,0,8,7,1,0,9,7,2,0,5,3,2,0
2002,"Houston","Conference USA","",0,12,5,7,0,9,3,6,0,6,3,3,0,6,2,4,0
2002,"Idaho","Sun Belt","",0,12,2,10,0,6,1,5,0,5,2,3,0,7,0,7,0
2002,"Illinois","Big Ten","",0,12,5,7,0,9,4,5,0,7,3,4,0,5,2,3,0
2002,"Indiana","Big Ten","",0,12,3,9,0,10,2,8,0,6,3,3,0,6,0,6,0
2002,"Iowa","Big Ten","",0,13,11,2,0,9,8,1,0,7,6,1,0,6,5,1,0
2002,"Iowa State","Big 12","North",0,14,7,7,0,8,4,4,0,8,6,2,0,6,1,5,0
2002,"Kansas","Big 12","North",0,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
2002,"Kansas State","Big 12","North",0,13,11,2,0,8,6,2,0,8,7,1,0,5,4,1,0
